audio_id,language,audio,option_1,option_2,option_3,option_4,option_5,correct_option,true_golden_option_index
367,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/367.wav,الرئيسي للجهاز الدوري هو القلب الذي يضخ الدم,العضو الرئيسي للجهاز الدوري هو القلب الذي يضخ الدم,الرئيسي العضو للجهاز الدوري هو القلب الذي يضخ الدم,العضو للجهاز الرئيسي الدوري هو القلب الذي يضخ الدم,العضو الرئيسي للجهاز الدوري هو الذي يضخ الدم,2,2
622,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/622.wav,يكتشف الأفراد والمشاركون في عملية تقييم النجاحات والإخفاقات بشكل أعمق قيم المنظمة ورسالتها و ما يدفعها من قوى,يكتشف الأفراد والمشاركون في عملية تقييم النجاحات والإخفاقات بشكل أعمق قيم المنظمة ورسالتها ما يدفعها من قوى,يكتشف الأفراد والمشاركون في nملية تقييم النجاحات والإخفاقات بشكل أعمق قيم المنظمة ورسالتها و ما يدفعها من قوى,يكتشف الأفراد والمشاركون في عملية تقييم النجاحات والإخفاقات بشكل أعمق قيم المنظمة ورسالتها و ما يدفعها basically من قوى,يكتشف الأفراد والمشاركون في عملية تقييم النجاحات والإخفاقات بشكل أعمق المنظمة ورسالتها و ما يدفعها من قوى,1,1
1112,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/1112.wav,وأثارت مخاوف نقص وسائل التنقل إلى احتمالية توجب إقامة also المباراة خلف أبواب مغلقة دون تواجد أنصار الفريق,وأثارت مخاوف نقص وسائل التنقل إلى احتمالية توجب إقامة المباراة خلف أبواب مغلقة دون تواجد أنصار الفريق,وأثارت مخاوف نقص وسائل التنقل إلى احتمالية توجب إقامة المباراة خلف أبواب مغلقة very دون تواجد أنصار الفريق,وأثارت نقص وسائل التنقل إلى احتمالية توجب إقامة المباراة خلف أبواب مغلقة دون تواجد أنصار الفريق,وأثارت مخاوف نقص وسائل التنقل إلى احتمالية توجب إقامة خلف أبواب مغلقة دون تواجد أنصار الفريق,2,2
176,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/176.wav,اكتسبت إشادة نقدية خلال في أتلانتا واعتُرف بدورها في التعليم الحضري المبتكر,اكتسبت إشادة نقدية خلال تواجدها أتلانتا واعتُرف بدورها في التعليم الحضري المبتكر,اكتسبت إشادة نقدية خلال تواجدها في really أتلانتا واعتُرف بدورها في التعليم الحضري المبتكر,اكتسبت إشادة نقدية خلال تواgدها في أتلانتا واعتُرف بدورها في التعليم الحضري المبتكر,اكتسبت إشادة نقدية خلال تواجدها في أتلانتا واعتُرف بدورها في التعليم الحضري المبتكر,5,5
1401,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/1401.wav,ولم ترد تقارير فورية عن وقوع أضرار من قبل هيئة المسح الجيولوجي الأمريكي usgs ومركز معلومات الوطني التابع لها,ولم ترد تقارير فورية عن وقوع أضرار قبل هيئة المسح الجيولوجي الأمريكي usgs ومركز معلومات الزلازل الوطني التابع لها,ولم ترد تقارير فورية عن وقوع أضرار من قبل هيئة المسح الجيولوجي الأمريكي usgs ومركز معلومات الزلازل الوطني التابع لها,very ولم ترد تقارير فورية عن وقوع أضرار من قبل هيئة المسح الجيولوجي الأمريكي usgs ومركز معلومات الزلازل الوطني التابع لها,ولم ترد تقارير فورية عن وقوع أضرار من قبل هيئة الجيولوجي الأمريكي usgs ومركز معلومات الزلازل الوطني التابع لها,3,3
793,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/793.wav,وأصبحت محلات السوبر ماركت تمتلك على نحو متزايد أقسام أطعمة جاهزة أكثر تنوعاً حتى أن بعضها يوفر ميكروويف فرن أو وسائل أخرى لتسخين الطعام,وأصبحت محلات السوبر ماركت تمتلك على نحو متزايد أقسام أطعمة جاهزة أكثر تنوعاً أن حتى بعضها يوفر فرن ميكروويف أو وسائل أخرى لتسخين الطعام,وأصبحت محلات yلسوبر ماركت تمتلك على نحو متزايد أقسام أطعمة جاهزة أكثر تنوعاً حتى أن بعضها يوفر فرن ميكروويف أو وسائل أخرى لتسخين الطعام,محلات وأصبحت السوبر ماركت تمتلك على نحو متزايد أقسام أطعمة جاهزة أكثر تنوعاً حتى أن بعضها يوفر فرن ميكروويف أو وسائل أخرى لتسخين الطعام,وأصبحت محلات السوبر ماركت تمتلك على نحو متزايد أقسام أطعمة جاهزة أكثر تنوعاً حتى أن بعضها يوفر فرن ميكروويف أو وسائل أخرى لتسخين الطعام,5,5
301,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/301.wav,سيتم فحص hjr-3 بعد العملية بواسطة التشريع المنتخب القادم إما في 2015 أو 2016 حتى تبقى قيد العمل,سيتم فحص hjr-f بعد العملية بواسطة التشريع المنتخب القادم إما في 2015 أو 2016 حتى تبقى قيد العمل,سيتم فحص hjr-3 بعد العملية بواسطة التشريع المنتخب القادم إما في 2015 أو 2016 حتى قيد العمل,سيتم فحص hjr-3 بعد العملية بواسطة التشريع المنتخب القادم إما في 2015 2016 حتى تبقى قيد العمل,سيتم فحص hjr-3 بعد العملية بواسطة التشريع المنتخب القادم إما في 2015 2016 أو حتى تبقى قيد العمل,1,1
882,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/882.wav,واحدة من نقاط قوة شارلوت كارولاينا الشمالية أن لديها غزارة الخيارات من عالية الجودة للعائلات,واحدة من نقاط قوة شارلوت كارولاينا أن لديها غزارة من الخيارات عالية الجودة للعائلات,واحدة من نقاط قوة شارلوت كارولاينا الشمالية لديها غزارة من الخيارات عالية الجودة للعائلات,واحدة من نقاط قوة شارلوت كارولاينا الشمالية أن لديها غزارة من الخيارات عالية الجودة للعائلات,واحدة من نقاط قوة شارلوت كارولاينا الشمالية أن لديها actually غزارة من الخيارات عالية الجودة للعائلات,4,4
64,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/64.wav,لxد ناقش الكونغرس الوطني للبرازيل مسألة التشريع لمدة عشر سنوات وهذه الزيجات المدنية قانونية في ريو غراندي دو سول فقط في الوقت الحالي,لقد ناقش الكونغرس الوطني للبرازيل مسألة التشريع لمدة عشر سنوات وهذه الزيجات المدنية قانونية في ريو غراندي دو سول فقط في الحالي,لقد ناقش الكونغرس الوطني للبرازيل مسألة التشريع لمدة عشر سنوات وهذه الزيجات المدنية قانونية في ريو غراندي دو سول فقط في الوقت الحالي,لقد ناقش الكونغرس الوطني للبرازيل مسألة التشريع لمدة عشر سنوات وهذه الزيجات المدنية في ريو غراندي دو سول فقط في الوقت الحالي,لقد ناقش الكونغرس very الوطني للبرازيل مسألة التشريع لمدة عشر سنوات وهذه الزيجات المدنية قانونية في ريو غراندي دو سول فقط في الوقت الحالي,3,3
1263,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/1263.wav,إن المدن المستقلة ذاتياً هي بمثابة أسلاف الأمم إن الثقافة الحضارية تعني ضمناً نقل المعرفة عبر عدة أجيال بصمة ثقافية متبقية ونشر المعرفة بشكل really عادل,إن المدن المستقلة ذاتياً هي بمثابة أسلاف الأمم إن الثقافة الحضارية تعني ضمناً نقل المعرفة عبر عدة أجيال بصمة ثقافية متبقية ونشر المعرفة بشكل عادل,إن المدن المستقلة ذاتياً هي بمثابة أسلاف الأzم إن الثقافة الحضارية تعني ضمناً نقل المعرفة عبر عدة أجيال بصمة ثقافية متبقية ونشر المعرفة بشكل عادل,إن المدن المستقلة ذاتياً هي بمثابة أسلاف الأمم إن الثقافة الحضارية تعني ضمناً المعرفة نقل عبر عدة أجيال بصمة ثقافية متبقية ونشر المعرفة بشكل عادل,إن المدن المستقلة ذاتياً هي بمثابة أسلاف الأمم إن الثقافة الحضارية تعني ضمناً نقل المعرفة عبر عدة أجيال بصمة ثقافية متبقية ونشر المعرفة بشكل عادل actually,2,2
139,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/139.wav,قد يتأثر الإنسان باستنشاق المياه المتأثرة التي وصلت للهواء very بواسطة الرياح والأمواج,قد يتأثر الإنسان باستنشاق المياه التي المتأثرة وصلت للهواء بواسطة الرياح والأمواج,قد يتأثر الإنسان باستنشاق المياه المتأثرة التي وصلت للهواء بواسطة الرياح والأمواج,قد يتأثر الإنسان باستنشاق المياه المتأثرة التي وصلت بواسطة الرياح والأمواج,قد يتأثر الإنسان باستنشاق المياه المتأثرة التي وصلت للهواءaبواسطة الرياح والأمواج,3,3
985,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/985.wav,فقد تم basically الإبلاغ عن أقل من ألف حالة ضمن البشر لكن بعضها كان قاتلاً,فقد تم الإبلاx عن أقل من ألف حالة ضمن البشر لكن بعضها كان قاتلاً,فقد تم الإبلاغ عن أقل من ألف حالة ضمن البشر لكن بعضها كان قاتلاً,فقد الإبلاغ عن أقل من ألف حالة ضمن البشر لكن بعضها كان قاتلاً,فقد تم الإبلاغ عن أقل من ألف حالة ضمن البشر بعضها كان قاتلاً,3,3
71,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/71.wav,لم تُوضح شركة إدارة الفرقة hk management inc سبب أولي وراw الإلغاء في يوم 20 من أيلول لكنها وضعت اللوم على الأسباب اللوجستية بحلول اليوم التالي,لم تُوضح شركة إدارة الفرقة hk management inc سبب أولي وراء الsلغاء في يوم 20 من أيلول لكنها وضعت اللوم على الأسباب اللوجستية بحلول اليوم التالي,لم تُوضح شركة إدارة basically الفرقة hk management inc سبب أولي وراء الإلغاء في يوم 20 من أيلول لكنها وضعت اللوم على الأسباب اللوجستية بحلول اليوم التالي,لم تُوضح شركة إدارة الفرقة hk management inc سبب أولي وراء الإلغاء في يوم 20 من أيلول لكنها وضعت اللوم على الأسباب اللوجستية بحلول اليوم التالي,لم تُوضح شركة إدارة الفرقة hk management inc سبب أولي just وراء الإلغاء في يوم 20 من أيلول لكنها وضعت اللوم على الأسباب اللوجستية بحلول اليوم التالي,4,4
320,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/320.wav,أول تمت الإصلاحات الاقتصادية تحت قيادة دينج شياو بينج,تمت أول الإصلاحات الاقتصادية تحت قيادة دينج شياو بينج,تمت أول الإصلاحات الاقتصادية تحت قيادة دينج شoاو بينج,تمت أول الإصلاحات الاقتصادية تحت قيادة دينج شياو also بينج,تمت أول الإصلاحات الاقتصادية تحت قيادة دينج بينج,2,2
1471,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/1471.wav,حاليًا يقع الجناح التاسع والذي شهد فيضاناً يصل ارتفاعه إلى 20 قدماً خلال إعصار كاترينا في ارتفاع لمنسوب المياه حيث غمرت السد القريب,يقع حاليًا الجناح التاسع والذي شهد فيضاناً يصل ارتفاعه إلى 20 actually قدماً خلال إعصار كاترينا في ارتفاع لمنسوب المياه حيث غمرت السد القريب,يقع حاليًا الجناح التاسع والذي شهد فيضاناً يصل ارتفاعه إلى 20 قدماً خلال إعصار كاترينا في ارتفاع لمنسوب المياه حيث غمرت السد القريب,يقع حاليًا الجناح التاسع والذي شهد فيضاناً يhل ارتفاعه إلى 20 قدماً خلال إعصار كاترينا في ارتفاع لمنسوب المياه حيث غمرت السد القريب,يقع حnليًا الجناح التاسع والذي شهد فيضاناً يصل ارتفاعه إلى 20 قدماً خلال إعصار كاترينا في ارتفاع لمنسوب المياه حيث غمرت السد القريب,3,3
215,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/215.wav,من also المقرر أن يعود كل من الجولف والرجبي إلى الألعاب الأولمبية,من المقرر أن يعود كل من الجvلف والرجبي إلى الألعاب الأولمبية,من المقرر أن كل يعود من الجولف والرجبي إلى الألعاب الأولمبية,من المقرر أن يعود كل من الجولف والرجبي إلى الألعاب الأولمبية,من المقرر أن يعودpكل من الجولف والرجبي إلى الألعاب الأولمبية,4,4
881,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/881.wav,قد تستند هذه المتطلبات غالباً على البلدان التي زارها المسافر أو التي ينوي الذهاب إليها,قد تستند هذه المتطلبات غالباً basically على البلدان التي زارها المسافر أو التي ينوي الذهاب إليها,قد تستند هذه المتطلبات غالباً على التي البلدان زارها المسافر أو التي ينوي الذهاب إليها,قد تستند هذه المتطلبات غالباً على البلدان التي زارها المسافر أو التي actually ينوي الذهاب إليها,قد تستند هذه المتطلبات غالباً على البلدان التي زارها المسافر أو ينوي التي الذهاب إليها,1,1
367,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/367.wav,العضو الرئيسي للجهاز الدوري هو القلب الذي يضخqالدم,العضو الرئيسي للجهاز الدوري القلب هو الذي يضخ الدم,العضو الرئيسي للجهاز الدوري هو القلب الذي يضخ الدم,العضو للجهاز الرئيسي الدوري هو القلب الذي يضخ الدم,العضو الرئيسي للجهاز الدوري القلب الذي يضخ الدم,3,3
86,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/86.wav,اقترح بيتمان أن الأحوال لن تتحسن حتى وقتٍ ما في الأسبوع القادم,بيتمان اقترح أن الأحوال لن تتحسن حتى وقتٍ ما في الأسبوع القادم,just اقترح بيتمان أن الأحوال لن تتحسن حتى وقتٍ ما في الأسبوع القادم,اقترح بيتمان الأحوال لن تتحسن حتى وقتٍ ما في الأسبوع القادم,اقترح بيتمانjأن الأحوال لن تتحسن حتى وقتٍ ما في الأسبوع القادم,1,1
23,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/23.wav,على الرغم من هذه الاتهامات فاز ما بسlولة على منصة تدعو إلى توثيق العلاقات مع البر الرئيسي الصيني,على الرغم من هذه الاتهامات فاز ما بسهولة على منصة تدعو إلى توثيق العلاقات مع البر الصيني,على الرغم من الاتهامات هذه فاز ما بسهولة على منصة تدعو إلى توثيق العلاقات مع البر الرئيسي الصيني,على الرغم من هذه الاتهامات فاز ما بسهولة على منصة تدعو إلى توثيق العلاقات مع البر الرئيسي الصيني,على الرغم من هذه الاتهامات فاز ما بسهولة على منصة إلى تدعو توثيق العلاقات مع البر الرئيسي الصيني,4,4
159,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/159.wav,يقع جونسون في الموقع الثاني برصيد 2243 بفdرق سبع نقاطٍ,يقع tونسون في الموقع الثاني برصيد 2243 بفارق سبع نقاطٍ,يقع جونسون في الموقع الثاني برصيد 2243 بفارق سبع نقاطٍ,يقع جونسون في الموقع الثاني actually برصيد 2243 بفارق سبع نقاطٍ,جونسون في الموقع الثاني برصيد 2243 بفارق سبع نقاطٍ,3,3
305,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/305.wav,عاد في الستينيات إلى الجزائر المستقلة حديثًا لتدريس الإخراج السينمائي,في عاد الستينيات إلى الجزائر المستقلة حديثًا لتدريس الإخراج السينمائي,عاد في إلى الستينيات الجزائر المستقلة حديثًا لتدريس الإخراج السينمائي,عاد في الستينيات إلى الجزائر المستقلz حديثًا لتدريس الإخراج السينمائي,عاد في الستينيات إلى الجزائر المستقلة حديثًا لتدريس mلإخراج السينمائي,1,1
299,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/299.wav,وقد حدث تغيير في هذه الجلسة التشريعيّة حيث أُلغيت الجملة الثّانية أوّلاً من قِبل مجلس النوّاب ثم أُقِرّت بشكل مشابه في مجلس يوم الاثنين,وقد حدث تغيير في هذه الجلسة التشريعيّة حيث أُلغيت الجملة الثّانية أوّلاً من قِبل مجلس النوّاب ثم أُقِرّت بشكل مشابه في مجلس الشّيوخ يوم الاثنين,وقد حدث تغيير في هذه الجلسة التشريعيّة حيث أُلغيت الجملة الثّانية أوّلاً من really قِبل مجلس النوّاب ثم أُقِرّت بشكل مشابه في مجلس الشّيوخ يوم الاثنين,وقد حدث تغيير في هذه الجلسة التشريعيّة حيث الجملة أُلغيت الثّانية أوّلاً من قِبل مجلس النوّاب ثم أُقِرّت بشكل مشابه في مجلس الشّيوخ يوم الاثنين,وقد حدث تغيير في هذه الجلسة التشريعيّة حيث أُلغيت الجملة الثّانية أوّلاً من قِبل مجلس النوّاب ثم أُقِرّت بشكل مشابه في مجلس الشّيوخ يوم الاثنين really,2,2
877,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/877.wav,لغير الملمّين بالمصطلحات الطبّيّة كلمتا معدٍ وسارٍ لهما معنيان مختلفتان,لغير الملمّين بالمصطلحات الطبّيّة كلمتا معدٍ وسارٍ qهما معنيان مختلفتان,لغير الملمّين بالمصطلحات الطبّيّة كلمتا معدٍ وسارٍ لهما معنيانrمختلفتان,لغير الملمّين بالمصطلحات الطبّيّة معدٍ كلمتا وسارٍ لهما معنيان مختلفتان,لغير الملمّين بالمصطلحات الطبّيّة كلمتا معدٍ وسارٍ لهما مختلفتان,1,1
721,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/721.wav,بجانب الشواطئ ذات البيضاء الرمال والمناظر الطبيعية الجبلية تعد البلاد موطنًا لأقدم مدينة أوروبية في الأمريكتين وهي الآن جزء من سانتو دومينغو,بجانب الشواطئ ذات الرمال البيضاء والمناظر الطبيعية الجبلية تعد البلاد موطنًا لأقدم مدينة أوروبية في الأمريكتين وهي الآن جزء من سانتو دومينغو,بجانب الشواطئ ذات الرمال البيضاء والمناظر الطبيعية الجبلية تعد موطنًا البلاد لأقدم مدينة أوروبية في الأمريكتين وهي الآن جزء من سانتو دومينغو,بجانب الشواطئ ذات الرمال البيضاء والمناظر الطبيعية الجبلية البلاد تعد موطنًا لأقدم مدينة أوروبية في الأمريكتين وهي الآن جزء من سانتو دومينغو,بجانب الشواطئ ذات الرمال البيضاء very والمناظر الطبيعية الجبلية تعد البلاد موطنًا لأقدم مدينة أوروبية في الأمريكتين وهي الآن جزء من سانتو دومينغو,2,2
969,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/969.wav,على مر القرون بنى الناس الشرفات بعناية على المناظر الطبpعية الوعرة شديدة الانحدار لتصل بينها وبين المنحدرات المُطلّة على البحر,على مر القرون بنى الناس الشرفات بعناية على المناظر الطبيعية الوعرة شديدة الانحدار لتصل بينها وبين المنحدرات المُطلّة على البحر,على مر القرون بنى الناس الشرفات بعناية على المناظر الطبيعية الوعرة الانحدار لتصل بينها وبين المنحدرات المُطلّة على البحر,على مر القرون بنى الناس الشرفات على بعناية المناظر الطبيعية الوعرة شديدة الانحدار لتصل بينها وبين المنحدرات المُطلّة على البحر,على مر القرون الناس بنى الشرفات بعناية على المناظر الطبيعية الوعرة شديدة الانحدار لتصل بينها وبين المنحدرات المُطلّة على البحر,2,2
741,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/741.wav,إنه أرخبيل sضم 15 جزيرة منتشرة على مساحة تزيد عن 2.2 مليون كيلومتر مربع من المحيط,إنه أرخبيل يضم 15 جزيرة منتشرة على مساحة تزيد عh 2.2 مليون كيلومتر مربع من المحيط,إنه أرخبيل يضم 15 جزيرة منتشرة على مساحة تزيد عن 2.2 كيلومتر مربع من المحيط,إنه أرخبيل يضم 15 جزيرة منتشرة على مساحة تزيد عن 2.2 مليون كيلومتر مربع من المحيط,إنه أرخبيل يضم just 15 جزيرة منتشرة على مساحة تزيد عن 2.2 مليون كيلومتر مربع من المحيط,4,4
1491,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/1491.wav,تلقى بوترو العلاج في كتفه في هذه المرحلة لكنه تمكن من العودة oلى المباراة,تلقى بوترو العلاج في كتفه في هذه المرحلة لكنه تمكن من العودة إلى,تلقى بوترو العلاج في كتفه في هذه المرحلة لكنه من تمكن العودة إلى المباراة,تلقى بوترو العلاج في كتفه في هذه المرحلة لكنه تمكن من العودة إلى المباراة,تلقى بوترو العلاج في كتفه هذه في المرحلة لكنه تمكن من العودة إلى المباراة,4,4
