audio_id,language,audio,transcription,duration
539,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\539.wav,tourists may visit different landmarks of a particular country or they may simply opt to focus on just one area,8.16
1179,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\1179.wav,in 1895 after defeat in the first sino-japanese war 1894-1895 the qing government signs the treaty of shimonoseki by which it cedes sovereignty over taiwan to japan which rules the island until 1945,21.54
1254,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\1254.wav,this is especially popular with school leavers allowing them to take a year out before university without compromising their education,10.02
1313,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\1313.wav,he arrived in the us with 4 cents to his name a book of poetry and a letter of recommendation from charles batchelor his manager in his previous job to thomas edison,14.34
718,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\718.wav,the mapuche were also one of the last independent american indigenous groups that were not fully absorbed into spanish-speaking rule until after chile's independence,15.36
1308,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\1308.wav,german pastries are quite good and in bavaria are quite rich and varied similar to those of their southern neighbor austria,8.52
225,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\225.wav,the judge told blake it was almost inevitable he was going to be sent to jail,5.1
373,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\373.wav,other scientists argue that these plants are very poisonous so it is unlikely that any dinosaur ate them even though today the sloth and other animals like the parrot a descendant of the dinosaurs can eat poisonous leaves or fruit,13.98
571,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\571.wav,when all individuals in a population are identical with regard to a particular phenotypic trait they are known as monomorphic,13.68
157,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\157.wav,"some of the rocks which are very rare on earth are being sold from us$11,000 to $22,500 per ounce which is about ten times more than the cost of gold",13.38
1026,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\1026.wav,the luminosity and rotation are used together to determine a star's rossby number which is related to plasma flow,9.72
349,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\349.wav,la luz y el calor que emana de las estrellas se genera cuando se unen o fusionan los átomos de hidrógeno para dar lugar a elementos más pesados,12.0
1107,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\1107.wav,sin perjuicio de cuán mansos puedan lucir lo cierto es que los bisones los uapatíes los alces los osos y prácticamente todos los animales grandes pueden se agresivos,12.6
1269,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\1269.wav,no obstante curiosamente la señal de los celulares es mucho mejor aquí que en muchas otras secciones de la carretera como pennsylvania wilds,9.78
794,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\794.wav,en algunos países o tipos de tiendas existe al menos un restaurante dentro del lugar que por lo general es bastante informal y sus precios económicos,11.58
1079,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\1079.wav,esta teoría sostiene que la mayor parte de la materia oscura que rodea a una galaxia se sitúa en torno a esta en una clase de halo y se compone por numerosas partículas pequeñas,12.78
116,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\116.wav,la empresa tiene como objetivo diversificar sus fuentes de ingresos y ganar popularidad en zonas en donde skype goza de una posición contundente como china europa del este y brasil,10.38
1153,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\1153.wav,con frecuencia muchos ritmos presentes en procesos fisiológicos y en el comportamiento dependen de manera decisiva de ciclos internos y su producción a través de relojes biológicos,14.88
398,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\398.wav,su ejército y marina eran más débiles aunque cuatro barcos nuevos acababan de ser construidos justo antes del inicio de la guerra,9.24
1231,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\1231.wav,confirmaron que la cepa de gripe aviar mortal en las personas h5n1 atacó a un pato silvestre que murió al que encontraron el lunes en un pantano en las cercanías de lyon en el este francés,11.7
1366,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\1366.wav,también pueden presenciarse otros torneos y partidos inferiores en otras partes del año,5.46
303,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\303.wav,la ley francesa fue modificada se inició como activista a la edad de 15 años al integrarse a la resistencia francesa durante la segunda guerra mundial,13.38
145,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\145.wav,«esto quiere decir que todo debe llevarse hacia atrás» indicó berhance asfaw investigador para el servicio de investigación del valle del rift en etiopía y coautor del estudio,13.86
428,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\428.wav,la turquía europea tracia oriental o rumelia en la península de los balcanes comprende el 3 % del país,7.8
273,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\273.wav,«algunos estudios sugieren que la enfermedad debe disminuir su letalidad antes de que pueda provocar una epidemia global» señaló,10.38
617,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\617.wav,existía además otra tribu formada por los maoríes que dejaron nueva zelanda que se asentó en las islas chatham,9.9
690,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\690.wav,phnom krom es un templo edificado en la cúspide de una colina hacia fines del siglo ix durante el reinado de yasovarman a 12 km al sur de siem reap,14.1
949,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\949.wav,puedes estar seguro de que una vez llegues al puerto todo será bastante obvio conocerás a otros autoestopistas de barco que compartirán su información contigo,11.46
1129,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\1129.wav,el primer mandatario de ee uu george w bush llegó a singapur temprano el 16 de noviembre dando inicio a una gira de siete días por asia,11.1
442,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\442.wav,durante el siglo xviii camboya sufrió varias invasiones de los tailandeses quienes en 1772 destruyeron phnom phen,11.58
1092,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\1092.wav,posee un amplio y extraordinario abanico de comunidades vegetales gracias a la variedad de microclimas suelos y niveles de altitud,10.2
608,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\608.wav,experimentamos el tiempo como una serie de acontecimientos que pasan desde el futuro a través del presente hacia el pasado,7.86
319,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\319.wav,en las últimas tres décadas china ha desarrollado una economía de mercado aun cuando oficialmente continúa teniendo un régimen comunista,9.72
1371,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\1371.wav,un terremoto de intensidad moderada hizo temblar el oeste de montana a las 10:08 p m del lunes,8.4
357,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\357.wav,esto hace que el patinador gire cuando los patines se inclinan hacia la derecha el patinador también gira en esa dirección si lo hacen hacia la izquierda girará hacia la izquierda,14.82
231,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\231.wav,se cree que el hombre guio un vehículo de tres ruedas munido con explosivos hacia la multitud,9.66
434,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\434.wav,en el pasado las partes actuales de bélgica pertenecían a luxemburgo pero tras la revolución belga de la década de 1830 se volvieron belgas,10.98
852,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\852.wav,el hangi se utiliza mucho a fin de preparar una cena con un estilo asado tradicional,7.14
217,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\217.wav,el squash el karate y el patinaje intentaron ingresar al programa de los juegos olímpicos al igual que el béisbol y el softbol que quedaron fuera en la competencia del 2005,11.7
337,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\337.wav,para terminar el grupo de danza turco anatolia interpretó «troya»,7.02
317,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\317.wav,también se lo acusó en el pasado de violar derechos de autor pero no se levantaron cargos en su contra,10.32
1315,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\1315.wav,los deportes de invierno cuentan con más popularidad en las zonas de norte con atletas que participan en torneos internacionales y eventos olímpicos,10.02
1126,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\1126.wav,esto también puede tomarse prestado de las prendas disponibles al ingresar pero esa ropa no se lava después de cada persona que la usa por lo que es podría no sentirse cómodo usando estas faldas. ¡una talla única para todos los hombres!,17.16
100,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\100.wav,petróleo crudo se desbordó cerca de la estación de bombeo de fort greely 9 debido a la apertura de las válvulas de escape que se a causa de una interrupción en el servicio de electricidad ocurrido tras una prueba de rutina del sistema de comando de incendios,21.42
1007,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\1007.wav,se entiende por agricultura de subsistencia aquella cuyo objetivo es producir suficientes alimentos para atender exclusivamente las necesidades del agricultor y su grupo familiar,12.72
424,es_419,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\es_419\424.wav,con el transcurso del tiempo muchas palabras tomadas del alemán se fusionaron esto marcó el inicio de la iluminación,10.02
149,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\149.wav,la banque northern rock avait été nationalisée en 2008 suite à la révélation que l'entreprise avait reçu un soutien d'urgence du gouvernement britannique,9.96
238,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\238.wav,donc si vous vous teniez près du rivage vous seriez en mesure de voir tout au fond jusqu'aux cailloux ou autres boues qui se trouvent dans les profondeurs,12.48
1181,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\1181.wav,les premières informations concernant taïwan remontent au xve siècle tandis que des navigateurs européens passant par là en firent mention sous le nom d’ilha formosa ou « belle île »,14.04
499,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\499.wav,à travers les siècles l'empire romain a grandement œuvré dans le domaine de la médecine et est à l'origine de la plupart des connaissances que nous possédons aujourd'hui,13.68
409,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\409.wav,cependant la découverte de sa tombe en 1922 a fait de lui une célébrité alors que de nombreuses tombes du passé ont été pillées cette tombe est restée pratiquement intacte,13.44
75,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\75.wav,en outre le juge en chef evangelos kalousis a été emprisonné après avoir été reconnu coupable de corruption et de malversations,13.56
589,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\589.wav,il est à espérer que la plupart des gens réaliseront que leur meilleure option à long terme est de travailler ensemble,10.98
1083,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\1083.wav,au cours de son voyage iwasaki a eu des problèmes à de nombreuses occasions,5.76
1102,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\1102.wav,le meilleur indice d'un empoisonnement interne est probablement la présence d'un récipient ouvert de médicaments ou de produits chimiques domestiques toxiques,12.18
426,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\426.wav,cependant charles est allé à l’université au trinity college à cambridge où il a étudié l’anthropologie et l’archéologie et plus tard l’histoire obtenant un 2:2 un diplôme inférieur de deuxième classe,18.72
1327,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\1327.wav,randonnée à skis cette activité est aussi appelée ski nordique ski de fond ou ski de randonnée,9.48
216,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\216.wav,le comité international olympique a voté l'inclusion de ces sports lors de la réunion de son conseil d'administration à berlin aujourd'hui le rugby plus précisément le rugby collectif et le golf ont été choisis parmi cinq autres sports pour participer aux jeux olympiques,19.74
18,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\18.wav,le journal britannique the guardian a suggéré que la deutsche bank contrôlait environ un tiers des 1200 sociétés écrans utilisées à cette fin,11.28
853,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\853.wav,plusieurs endroits à rotorua offrent des hangis géothermiques tandis que d'autres hangis peuvent être échantillonnés à christchurch wellington et ailleurs,14.58
478,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\478.wav,alexandre en tant que roi offrit de payer pour reconstruire le temple mais son offre fut déclinée plus tard après la mort d'alexandre le temple fut reconstruit en 323 avant notre ère,16.02
241,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\241.wav,hier le bureau de poste a présenté ses excuses aux citoyens et aux médias après avoir découvert que le jeune garçon avait caché plus de 600 courriers parmi lesquels 429 cartes de nouvel an qui ne sont jamais arrivées entre les mains de leur destinataire,17.28
1478,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\1478.wav,c'est encore fabriqué aujourd'hui mais ce qui importe est que son format d'image est hérité du format du capteur photographique des caméras numériques,10.8
250,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\250.wav,le bâtiment abritait un certain nombre de pèlerins venus visiter la ville sainte à la veille du pèlerinage du hadj,8.1
1239,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\1239.wav,quiconque envisage de se rendre dans un pays qui pourrait être considéré comme une zone de guerre devrait recevoir une formation professionnelle,11.34
137,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\137.wav,l'algue produit une neurotoxine qui peut paralyser les nerfs chez les humains et les poissons,7.8
1007,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\1007.wav,l'agriculture de subsistance est une agriculture pratiquée pour produire suffisamment de nourriture pour répondre uniquement aux besoins de l'agriculteur et de sa famille,11.16
1033,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\1033.wav,il est de tradition de passer la nuit de pâques éveillé à un endroit à découvert pour voir le lever du soleil,10.32
150,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\150.wav,northern rock avait sollicité une aide en raison de son exposition aux effets de la crise des subprimes en 2007,10.2
604,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\604.wav,il a la même structure moléculaire qu'il s'agisse d'un gaz d'un liquide ou d'un solide,8.4
218,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\218.wav,le vote doit encore être ratifié par l'ensemble du cio lors de sa réunion d'octobre à copenhague,7.8
1117,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\1117.wav,essayez de viser un endroit où vous ne serez pas pris à nouveau il est possible également qu'en fonction de vos compétences et de si vous avez été repéré ou pas vous voudrez peut-être attendre les secours,15.96
9,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\9.wav,à whitehall peu après 11 h 00 des manifestants ont bloqué la circulation des véhicules en direction du nord,8.58
1022,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\1022.wav,chambers avait poursuivi dieu en justice pour « mise à mort généralisée destruction et terreur infligées à des millions et des millions d'habitants de la terre. »,10.98
1310,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\1310.wav,après tout le chef est responsable en dernier ressort du succès et de l'échec de l'équipe,10.74
1362,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\1362.wav,les ocelots sont friands de petits animaux ils attrapent des singes des serpents des rongeurs et des oiseaux s'ils le peuvent presque tous les animaux que l'ocelot chasse sont bien plus petits que lui,13.5
433,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\433.wav,le luxembourg a une longue histoire mais son indépendance ne date que de 1839,9.24
131,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\131.wav,l'annonce d'aujourd'hui prolonge également l'engagement pris par le gouvernement en mars de cette année de financer des voitures supplémentaires,10.44
34,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\34.wav,piquet jr a été limogé après le grand prix de hongrie 2009,7.68
1289,fr_fr,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\fr_fr\1289.wav,les requins existent mais ils attaquent rarement les humains la plupart d'entre eux ont peur des humains et s'en écarteraient,9.84
1140,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\1140.wav,natürlich stellten die superprofite die der andauernden ausbeutung des philippinischen volkes entstammten die grundlegenden gewinne des us-imperialismus dar,12.84
217,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\217.wav,squash karate und skating-sportarten versuchten teil des olympischen programms zu werden ebenso wie baseball und softball die 2005 von den olympischen spielen ausgeschlossen wurden,12.9
1265,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\1265.wav,in entwickelten ländern werden sie selten ähnlich viele beschwerden über die wasserqualität oder den einsturz von brücken hören,9.36
1244,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\1244.wav,alle bürger von vatikan-stadt sind römisch-katholisch,5.46
700,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\700.wav,dieser brief muss vom ecuadorianischen außenministerium für legal erklärt werden und bestimmte anforderungen erfüllen,9.42
457,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\457.wav,dadurch konnten mit zoomobjektiven bilder in einer qualität erzeugt werden die mit der von objektiven mit fester brennweite vergleichbar ist,11.28
329,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\329.wav,diesen trat er 1945 bei und blieb bis 1958,7.38
1462,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\1462.wav,beratungen sind lediglich eine kurze zusammenfassung der politischen situation in einem land,7.08
652,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\652.wav,"""wie bereits erwähnt ist das wort ""eskimo"" in den vereinigten staaten zwar nach wie vor akzeptabel wird aber von vielen arktischen völkern außerhalb der vereinigten staaten insbesondere in kanada als abwertend betrachtet.",13.56
1178,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\1178.wav,alle tiere die ursprünglich auf den inseln eintrafen kamen entweder durch schwimmen fliegen oder anschwemmen hierher,9.18
944,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\944.wav,in einem fremden land zu leben und einen freiwilligendienst zu absolvieren ist eine tolle möglichkeit eine andere kultur kennenzulernen neue menschen zu treffen etwas über sich selbst zu lernen die dinge aus einer anderen perspektive zu sehen und sogar neue fähigkeiten zu erlernen,18.36
612,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\612.wav,anspruchsvolle animationen können am computer konstruiert werden und werden zunehmend im fernsehen und in filmen verwendet,8.4
1504,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\1504.wav,der kongress war nicht befugt steuern zu erheben und da es weder eine nationale exekutive noch eine nationale justiz gab verließ er sich bei der durchsetzung all seiner gesetze auf die behörden der bundesstaaten die oftmals nicht kooperierten,15.96
714,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\714.wav,die meisten menschen buchen ihren platz lange im voraus da die boote während der hochsaison normalerweise voll sind,8.22
473,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\473.wav,der spanische erbfolgekrieg stellt den ersten krieg dar dessen hauptproblem das machtgleichgewicht war,6.9
1056,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\1056.wav,wird der begriff jedoch ohne weitere attribute verwendet bezeichnet er in der regel das essen das ursprünglich aus den zentralen und östlichen teilen der hauptinsel java stammt,12.12
736,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\736.wav,sirena ist die einzige rangerstation die neben zelten auch übernachtung im schlafsaal und warme mahlzeiten anbietet la leona san pedrillo und los patos bieten nur camping ohne verpflegung an,15.24
1426,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\1426.wav,die rentierzucht stellt eine wichtige quelle des  lebensunterhalts der sámi dar und die kultur rund um den handel ist auch für viele die in anderen berufe arbeiten von bedeutung,11.64
1234,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\1234.wav,liggins trat in die fußstapfen seines vaters und schlug eine medizinische karriere ein,10.2
143,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\143.wav,die entscheidung der nba erfolgte nachdem ein spieler von utah jazz positiv auf das covid-19-virus getestet worden war,10.08
422,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\422.wav,einige deutsche mönche wollten gott dem eingeborenen volk näherbringen und entwickelten so die estnische schriftsprache,8.82
352,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\352.wav,wegen der oberflächenspannung treibt die nadel aus stahl auf dem wasser,5.22
538,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\538.wav,wenn das ziel des besuches eines bestimmten ortes ist seine geschichte und kultur zu erfahren dann wird diese art des tourismus als kultureller tourismus bezeichnet,10.92
614,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\614.wav,im neunzehnten und zwanzigsten jahrhundert dachte man lange zait dass die ersten bewohner neuseelands die maoris waren die moa genannte riesenvögel bejagten,10.8
726,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\726.wav,jetzt dient es als zentraler platz an dem tags und nachtsüber zahlreiche veranstaltungen stattfinden,7.74
609,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\609.wav,zeit ist auch die art und weise wie wir die dauer länge von veranstaltungen vergleichen,9.0
338,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\338.wav,peter lenz ein 13-jähriger motorradrennfahrer starb nachdem er in einen unfall auf dem indianapolis motor speedway verwickelt war,9.12
657,de_de,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\de_de\657.wav,wenn sie grönland in einer kalten jahreszeit besuchen wenn man bedenkt dass es umso kälter wird je weiter nördlich sie reisen ist es unerlässlich kleidung mitzunehmen die warm genug ist,13.2
